,id,tweet,tweet_cleaned,ypred
0,1472958183882719233t,"So true.  Take control of what you can…get vaccinated, mask up, socially distance, and test. https://t.co/0Wd5hFelaS",so true   take control of what you can get vaccinated  mask up  socially distance  and test  ,non-reporting
1,1449995880904470529t,"The vaccinated still spread it and are factories for vaccine resistant strains. Millions of ppl have already had COVID, recoverd, &amp; study after study confirms they are better protected than the vaxd. So why the jab fetish? B/c that's all it is at this point. https://t.co/3tOP6CkB9E",the vaccinated still spread it and are factories for vaccine resistant strains  millions of people have already had covid  recoverd   amp  study after study confirms they are better protected than the vaxd  so why the jab fetish  b c that is all it is at this point  ,third-party
2,1480413964265660416t,"NT records 403 new cases of COVID-19, as it exits lockout, introduces vaccine pass system https://t.co/jbVUNQgW9O via @ABCaustralia",nt records 403 new cases of covid 19  as it exits lockout  introduces vaccine pass system  via  abcaustralia,primary
3,1408119497962057742t,"@ochealth You are experimenting with people. By California state law it should have been easy vaccination for all.
Federal law have already make it easy access to all regardless of living status. Be humane.", ochealth you are experimenting with people  by california state law it should have been easy vaccination for all   federal law have already make it easy access to all regardless of living status  be humane ,non-reporting
4,1439361704320806915t,"@LPCPressBox So I guess we’re supposed to just forget about Trudeau abandoning Canadians in Afghanistan, the liberal sexual assault MPs, 4.1% inflation, failed climate targets, 1.4 trillion dollar federal debt, boil water advisories on FN reserves, blackface and failed vaccine procurement.", lpcpressbox so i guess we are supposed to just forget about trudeau abandoning canadians in afghanistan  the liberal sexual assault mps  4 1  inflation  failed climate targets  1 4 trillion dollar federal debt  boil water advisories on fn reserves  blackface and failed vaccine procurement ,primary
5,1478769637282230274t,Vaccinated and Healthy. Dm quick. https://t.co/WBvpLqDbYd,vaccinated and healthy  dm quick  ,primary
6,1472297934633017344t,"@MedelliaS @KrispyKrunch17 @GijsDongen @matthe1972 @SavageEren @CryptoMichNL And hear you have the chances you have by 100000 people to end up in hospitals, UCI (FIA) and end up dying. By group of ages. Red is unvaccinated and green vaccinated. Vaccines work and really well in what they were made to stop: deaths and hospitalizations https://t.co/oKCP4NMteW", medellias  krispykrunch17  gijsdongen  matthe1972  savageeren  cryptomichnl and hear you have the chances you have by 100000 people to end up in hospitals  uci  fia  and end up dying  by group of ages  red is unvaccinated and green vaccinated  vaccines work and really well in what they were made to stop  deaths and hospitalizations ,non-reporting
7,1520114105985769475t,"@SheltsUnited @ChristianBrie1 @EssexPR There is no ""DNA altering vaccine"".

That is just an anti-vax fantasy.", sheltsunited  christianbrie1  essexpr there is no  dna altering vaccine      that is just an anti vax fantasy ,non-reporting
8,1423827464573255683t,Employees will get thousands of dollars if they get vaccinated https://t.co/p4caqLGi1d https://t.co/5rt76rK0PX,employees will get thousands of dollars if they get vaccinated  ,third-party
9,1479557209751175174t,Pfizer/BioNTech vaccine protects children against rare COVID-19 complication - CDC - https://t.co/JUKBdiIeTr,pfizer biontech vaccine protects children against rare covid 19 complication   cdc   ,primary
10,1399354920202014721t,"@MartinDaubney Shock horror. More vaccine coercion.

Vaccines Macht Frei and all that........", martindaubney shock horror  more vaccine coercion     vaccines macht frei and all that        ,third-party
11,1418397031400296449t,"@ChuckCallesto Mainstream people:
Everyone matters! Get vaccinated! Do your part! Don't open up! Don't be selfish!
Also Mainstream:
They died from covid and were unvaccinated! GOOD!
Also Also Mainstream:
Only 50 people who were vaccinated died! So what?", chuckcallesto mainstream people   everyone matters  get vaccinated  do your part  do not open up  do not be selfish   also mainstream   they died from covid and were unvaccinated  good   also also mainstream   only 50 people who were vaccinated died  so what ,non-reporting
12,1441544771764318213t,"@RogerMarshallMD @hughhewitt Your slogan should totally be ""Get Vaccinated, Or Don't!""", rogermarshallmd  hughhewitt your slogan should totally be  get vaccinated  or do not  ,non-reporting
13,1469565920632721412t,"I, unlike you, am an old prick &amp; remember poliomyelitis as a kid in the 1950s &amp; '60s when crippled adults and children were a common sight. Polio is caused by a virus. Everyone copped the vaccination. I don't want to get COVID-19 because even if I survive I may still suffer it. https://t.co/ylLRWS7HkH",i  unlike you  am an old prick  amp  remember poliomyelitis as a kid in the 1950s  amp   60s when crippled adults and children were a common sight  polio is caused by a virus  everyone copped the vaccination  i do not want to get covid 19 because even if i survive i may still suffer it  ,non-reporting
14,1402596703476142086t,"@AITCofficial @BJP4India @MamataOfficial Even with people's money, WB failed to procure sufficient vaccine ,to meet full requirement of all Bengalis.", aitcofficial  bjp4india  mamataofficial even with people s money  wb failed to procure sufficient vaccine  to meet full requirement of all bengalis ,primary
15,1457900512003645442t,How tf is it weird to send a kid to school vaccinated? How are y’all so dumb?,how tf is it weird to send a kid to school vaccinated  how are you all so dumb ,non-reporting
16,1515096322155679747t,@CP24 This is the rule DOCTOR - the federal requirement that vaccinated international travellers wear a mask in public for 14 days after they have come into Canada, cp24 this is the rule doctor   the federal requirement that vaccinated international travellers wear a mask in public for 14 days after they have come into canada,primary
17,1467663527313870854t,"@Patri0tCx_ 🤣🤣 It's the vaccinated spreading it amongst each other. IMO, but what do I know I'm just a 🥜😋", patri0tcx   rolling on the floor laughing  rolling on the floor laughing  it is the vaccinated spreading it amongst each other  i am going to  but what do i know i am just a  peanuts  face savoring food ,third-party
18,1437463725817073667t,@OlePundit Vaccine does not stop anyone from getting covid-19, olepundit vaccine does not stop anyone from getting covid 19,third-party
19,1481332399803969537t,"Maskless members of Kamloops anti-vaxxer group arrested, fined at Superstore https://t.co/NZmIz8XZ0M via @KamThisWeek",maskless members of kamloops anti vaxxer group arrested  fined at superstore  via  kamthisweek,primary
20,1417071952011972612t,@zonkermax @johnmcdonnellMP In the uk we have the biggest roll out of vaccines of any country. So we should never lockdown again. Or are you quite happy to be be controlled by the government? If we lockdown again. It’s quite clear the vaccine doesn’t work., zonkermax  johnmcdonnellmp in the uk we have the biggest roll out of vaccines of any country  so we should never lockdown again  or are you quite happy to be be controlled by the government  if we lockdown again  it is quite clear the vaccine does not work ,third-party
21,1404373195042422790t,@DuaneRankin Just imagine what The Valley would have been unable to do if we were still under massive COVID restrictions. Get vaccinated folks if you haven't already., duanerankin just imagine what the valley would have been unable to do if we were still under massive covid restrictions  get vaccinated folks if you have not already ,non-reporting
22,1471440978842116103t,Slut for Big Pharma sets up cameras at the pharmacy to announce Vaccine Passports for CT. https://t.co/UaSezEFMZJ,slut for big pharma sets up cameras at the pharmacy to announce vaccine passports for ct  ,third-party
23,1477275115696140292t,@StLuciaYoga @chris_notcapn Seriously? How we’re you supposed to know you’d get it from the vaccine. Egads!, stluciayoga  chris notcapn seriously  how we are you supposed to know you would get it from the vaccine  egads ,non-reporting
24,1459570990489522186t,"Mandatory Vaccination Policy Rejected by Arbitrator -Electrical Safety Authority &amp; Power Workers Union. Another win 👏👏👏👏

What Does This Mean for Employers?

https://t.co/MrQSZOEM3U",mandatory vaccination policy rejected by arbitrator  electrical safety authority  amp  power workers union  another win  clapping hands  clapping hands  clapping hands  clapping hands     what does this mean for employers     ,non-reporting
25,1398100683954569217t,"@CheeseForEvery1 @assliken “Do you believe Bill Gates has a third testicle that tells him how to design vaccine microchips?” 
“....fuck it. Yeah. Can I go back to dinner now? My food is getting cold”", cheeseforevery1  assliken  do you believe bill gates has a third testicle that tells him how to design vaccine microchips          fuck it  yeah  can i go back to dinner now  my food is getting cold ,primary
