,id,tweet,tweet_cleaned,ypred,ypred_cat,pred
0,1242353332817137664t,"If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, call your healthcare provider for medical advice.  Learn more on what to do if you’ve been affected/exposed to #COVID19:   https://t.co/7bQeVhCQPM",if you think you have been exposed to covid 19 and develop a fever and symptoms  such as cough or difficulty breathing  call your healthcare provider for medical advice   learn more on what to do if you have been affected exposed to  covid19    ,0,0,non-reporting
1,1244712715827982339t,"@timbovisser @BBCJohnBeattie Yes, myself, wife, father in law and brother in law all had fever and flu like symptoms around Christmas/New Year time.  Would love to be tested to confirm whether or not it was Covid-19", timbovisser  bbcjohnbeattie yes  myself  wife  father in law and brother in law all had fever and flu like symptoms around christmas new year time   would love to be tested to confirm whether or not it was covid 19,3,3,secondary
2,1314693013810089984t,Lots of people I know having positive covid test results. All seem to be complaining more about the loss of smell/taste 1 has a chest infection also. Amazingly. They all hot their test results back 24 hours  https://t.co/Z51i6A1aH4 partners took 3 days,lots of people i know having positive covid test results  all seem to be complaining more about the loss of smell taste 1 has a chest infection also  amazingly  they all hot their test results back 24 hours   partners took 3 days,3,3,secondary
3,1307860995692527616t,@lizzyp144 @TomAThakkar Okay but doesn’t COVID give you a dry cough, lizzyp144  tomathakkar okay but does not covid give you a dry cough,0,0,non-reporting
4,1277375421164613632t,We should have people w covid cough on white bitches who don’t wear a mask,we should have people w covid cough on white bitches who do not wear a mask,0,0,non-reporting
5,1238141304187617284t,"So, our rep just announced they are  out of hand sanitizers.. and I may be sent home bc of my cough.. #corona",so  our rep just announced they are  out of hand sanitizers   and i may be sent home because of my cough    corona,2,2,primary
6,1298691905950232577t,"You can integrate technologies you already own to improve your COVID-19 response and prevention. Read on for ways to automate health screenings, fever detection, social distance alerts, and contact tracing. &gt;&gt;  https://t.co/x2jrssDi4y #businessrecovery #emergencymanagement  https://t.co/62We1YRbza",you can integrate technologies you already own to improve your covid 19 response and prevention  read on for ways to automate health screenings  fever detection  social distance alerts  and contact tracing   gt  gt     businessrecovery  emergencymanagement  ,0,0,non-reporting
7,1238645951356489729t,"#BREAKING NEWS ...  John Travolta was hospitalized for suspected COVID-19, but doctors now confirm that it was only Saturday Night Fever, and they assure everyone that he is Staying Alive.  That's All LMBO  Thanks #David 😁😁", breaking news      john travolta was hospitalized for suspected covid 19  but doctors now confirm that it was only saturday night fever  and they assure everyone that he is staying alive   that is all lmbo  thanks  david  beaming face with smiling eyes  beaming face with smiling eyes ,1,1,third-party
8,1242336452056190976t,"@WHO Hi in tamil medicine we use this herb (Lesser Galangal/Chitharathai/Alpinia Officinarum) to fight microbes causing cold, chronic cough and lung infections.  make soup of this along with basil leaves,pepper,dry ginger.  please test if it can help covid-19.", who hi in tamil medicine we use this herb  lesser galangal chitharathai alpinia officinarum  to fight microbes causing cold  chronic cough and lung infections   make soup of this along with basil leaves pepper dry ginger   please test if it can help covid 19 ,0,0,non-reporting
9,1328318630380101632t,"@rainnwilson Can anybody tell me what symptoms are like? In the beginning I thought me and my son got COVID. I was so sick that I had a real bad headache, very weak, my son teeth were shattering like he was cold. 18 hours for him and 22 hours for me we were ok. Could that be COVID?", rainnwilson can anybody tell me what symptoms are like  in the beginning i thought me and my son got covid  i was so sick that i had a real bad headache  very weak  my son teeth were shattering like he was cold  18 hours for him and 22 hours for me we were ok  could that be covid ,2,2,primary
10,1236448508510642176t,I cough in your general direction.  Your mother smells of Covid-19.  Your father smells of SARS.,i cough in your general direction   your mother smells of covid 19   your father smells of sars ,0,0,non-reporting
11,1267128845448237057t,Anyone else think that the present Covid outbreak is the actual second more virulent wave? More and more people I have talked to had brutal respiratory illlness with high fever in November/ December. Most described it as sickest they have ever been. Just wondering ...,anyone else think that the present covid outbreak is the actual second more virulent wave  more and more people i have talked to had brutal respiratory illlness with high fever in november  december  most described it as sickest they have ever been  just wondering    ,1,1,third-party
12,1242684554613153792t,@marynickisher1 This is a thermometer that tells if you have a fever. The data is uploaded and collected as way of tracking where fevers are happening. It can give us an idea of where a pandemic could be spreading but it isn't a test for Covid-19., marynickisher1 this is a thermometer that tells if you have a fever  the data is uploaded and collected as way of tracking where fevers are happening  it can give us an idea of where a pandemic could be spreading but it is not a test for covid 19 ,0,0,non-reporting
13,1312780426319192066t,SARS-CoV-2 Symptoms: Fever Cough Headache Body aches etc...  Covid-19 Symptoms: Anxiety Sense of Dread Anger Intolerance Hysteria Impairment of Rational Thought etc...,sars cov 2 symptoms  fever cough headache body aches etc     covid 19 symptoms  anxiety sense of dread anger intolerance hysteria impairment of rational thought etc   ,0,0,non-reporting
14,1243044493378478080t,"We can, we will, Beat #coronavirusindia Thermal Screening.  Helping India in Stopping Outspread of COVID-19  Thermal Camera Made in India Helping India in Stopping Outspread of #Covid19Out   @Sparsh_cctv Fever Detection Camera is applied in govt. Buildings! #FeverDetectionCamera",we can  we will  beat  coronavirusindia thermal screening   helping india in stopping outspread of covid 19  thermal camera made in india helping india in stopping outspread of  covid19out    sparsh cctv fever detection camera is applied in govt  buildings   feverdetectioncamera,0,0,non-reporting
15,1291390245607559168t,"Since some of you have been asking.... I'm still sick with Covid. It's day 8. I have lessening body aches, but worse cough, lack of taste and smell, and fatigue. I haven't been able to get paid nor work on artwork to make up for loss if income. My queue is at a standstill.",since some of you have been asking     i am still sick with covid  it is day 8  i have lessening body aches  but worse cough  lack of taste and smell  and fatigue  i have not been able to get paid nor work on artwork to make up for loss if income  my queue is at a standstill ,2,2,primary
16,1246262046993403904t,@FiFiEarthAngel @ShopRiteStores You have to have a fever of at least 103 degrees and or been in direct contact with confirmed corona virus patient.  They have to test him., fifiearthangel  shopritestores you have to have a fever of at least 103 degrees and or been in direct contact with confirmed corona virus patient   they have to test him ,0,0,non-reporting
17,1309189143021391872t,The way these COVID cases are rising is honestly giving me a headache,the way these covid cases are rising is honestly giving me a headache,0,0,non-reporting
18,1252158066541432833t,"@CMOMaharashtra @CMOMaharashtra my friend with her dad in so unwell condition asking authorities in Rajawadi Hospital Ghatkopar and they are saying first you get admit for corona then we will do swab test and it will take 4 dys for result. The patient is diabetic, fever n breathlessness.", cmomaharashtra  cmomaharashtra my friend with her dad in so unwell condition asking authorities in rajawadi hospital ghatkopar and they are saying first you get admit for corona then we will do swab test and it will take 4 dys for result  the patient is diabetic  fever n breathlessness ,3,3,secondary
19,1236416216522084352t,- when you're sick (flu/covid/cold) STAY HOME!!! I was working PT in a clothing store and a woman who was running a fever (she told me) came out to shop bc she was BORED! Fuck off! Don't infect me bc you don't know how to chill and be with yourself!,  when you are sick  flu covid cold  stay home    i was working pt in a clothing store and a woman who was running a fever  she told me  came out to shop because she was bored  fuck off  do not infect me because you do not know how to chill and be with yourself ,3,3,secondary
20,1237192781346545664t,@imhclit @gwsgiaws @loveguhlore @grandesbreakup @ArianaGrande I guess since everyone is staying home cause of the corona virus they’re getting cabin fever, imhclit  gwsgiaws  loveguhlore  grandesbreakup  arianagrande i guess since everyone is staying home because of the corona virus they are getting cabin fever,0,0,non-reporting
21,1239663583866339335t,"@piersmorgan significant body of evidence now is indicating that Covid-19 can be excreted in stools even after contracting the disease and then tested negative after recovering.  Also, can present with nausea &amp; diarrhoea even b4 having cough and fever !!!!!!", piersmorgan significant body of evidence now is indicating that covid 19 can be excreted in stools even after contracting the disease and then tested negative after recovering   also  can present with nausea  amp  diarrhoea even before having cough and fever       ,0,0,non-reporting
22,1250818810090831875t,Dengue fever kills more than COVID-19 in Central Java  https://t.co/nIggTTFkOL,dengue fever kills more than covid 19 in central java  ,0,0,non-reporting
23,1299876687463755777t,I have stayed inside for months.  We get everything delivered.  Husband goes to the post office once a week when no one is in there.  We sanitize packages that are delivered. Now my throat hurts and I have a fever.  My anxiety is through the atmosphere. #COVID #mentalhealth,i have stayed inside for months   we get everything delivered   husband goes to the post office once a week when no one is in there   we sanitize packages that are delivered  now my throat hurts and i have a fever   my anxiety is through the atmosphere   covid  mentalhealth,2,2,primary
24,1295435365000519680t,I had a sore throat and really thought I had corona but I really just keep leaving my fan and ac on🤣🤣🤣 my results came back negative I need to celebrate w a drink bye.,i had a sore throat and really thought i had corona but i really just keep leaving my fan and ac on rolling on the floor laughing  rolling on the floor laughing  rolling on the floor laughing  my results came back negative i need to celebrate w a drink bye ,2,2,primary
25,1286031169826553857t,"How do you tell your job that if they reopen too early, you don’t want to come back because you have health problems? One of which makes it difficult for you to sweat meaning if you catch COVID it might be impossible for you to break the fever? But like. Please don’t fire you?",how do you tell your job that if they reopen too early  you do not want to come back because you have health problems  one of which makes it difficult for you to sweat meaning if you catch covid it might be impossible for you to break the fever  but like  please do not fire you ,0,0,non-reporting
26,1322105941630849025t,"@bethmrph @JaeBsoNasty @JoeBiden No other American president would have taken Chinas word on the pandemic.  His inability to mobilize the international community, and organize a collective response is damning.  His weakness on China, staggering.   Covid is not his fault, but where it is now - is.", bethmrph  jaebsonasty  joebiden no other american president would have taken chinas word on the pandemic   his inability to mobilize the international community  and organize a collective response is damning   his weakness on china  staggering    covid is not his fault  but where it is now   is ,0,0,non-reporting
27,1256783310556221441t,"@plantladyrising @AnaMardoll So, I work at a nursing home where we've only had access to tests for people who have had a fever. Since the pandemic started, we've had three residents with a fever and all have tested negative for COVID-19. Including the one who also had a severe cough.", plantladyrising  anamardoll so  i work at a nursing home where we have only had access to tests for people who have had a fever  since the pandemic started  we have had three residents with a fever and all have tested negative for covid 19  including the one who also had a severe cough ,3,3,secondary
28,1241941426281291777t,"One thing that sucks about asthma, right now (other than not being able to get enough oxygen), is that my asthma presents as a dry cough. So, yes, when my allergies are bad, i have a dry cough. That won't be a good sign of Covid-19 for me. Sigh",one thing that sucks about asthma  right now  other than not being able to get enough oxygen   is that my asthma presents as a dry cough  so  yes  when my allergies are bad  i have a dry cough  that will not be a good sign of covid 19 for me  sigh,0,0,non-reporting
29,1258774694037078016t,"… and upon the land there fell a silence, broken only by rasping coughs, and mournful wails, and the clatter of fingers on keyboards.   The Book of Covid",  and upon the land there fell a silence  broken only by rasping coughs  and mournful wails  and the clatter of fingers on keyboards    the book of covid,0,0,non-reporting
30,1243687683219742725t,"all ""non-COVID"" patients in the ER in a nutshell: 60 y.o male here for hip pain x 1 year(!). no trauma, ambulatory. NO other symptoms. randomly has a fever - cxr with ground glass opacities AKA nvm he has COVID AND SO DOES EVERY SINGLE PATIENT EVER. #emergencymedicine #COVID19",all  non covid  patients in the er in a nutshell  60 y o male here for hip pain x 1 year     no trauma  ambulatory  no other symptoms  randomly has a fever   cxr with ground glass opacities aka nevermind he has covid and so does every single patient ever   emergencymedicine  covid19,1,1,third-party
31,1288170491379888139t,life before corona feels like a fever dream,life before corona feels like a fever dream,0,0,non-reporting
32,1296524723333955585t,My mother covid 19 report is positive please pray for speedy recovery 🙏   breathing problems  #adians #friends @ajaydevgn,my mother covid 19 report is positive please pray for speedy recovery  folded hands    breathing problems   adians  friends  ajaydevgn,3,3,secondary
33,1268132241747607552t,No help for new asthma sufferers and now hay fever compared to covid is weak. No support . Trying to keep us all away from NHS. Phone call support only.,no help for new asthma sufferers and now hay fever compared to covid is weak  no support   trying to keep us all away from nhs  phone call support only ,0,0,non-reporting
34,1307799948910616578t,"*Cough* *sneeze* It's that time of year. Kids are back in school, and flu season is almost here. This year poses a new challenge for parents who may find themselves asking, “Is it flu or is it COVID-19?” Visit our blog to help you spot the difference:  https://t.co/dxkgWGSxz9  https://t.co/LkF3MREV2q", cough   sneeze  it is that time of year  kids are back in school  and flu season is almost here  this year poses a new challenge for parents who may find themselves asking   is it flu or is it covid 19   visit our blog to help you spot the difference     ,0,0,non-reporting
35,1239627190599405568t,Don’t even want to cough around people they might think I have the Corona! 😬,do not even want to cough around people they might think i have the corona   grimacing face ,2,2,primary
